productid,suggestion
HBV00000NVZFI,"['HBV00000NVZG6 - 0.30908748572740535', 'HBV00000NVZF2 - 0.16341446525823475', 'HBV00000NVZFO - 0.1112156255326098', 'HBV00000NVZF8 - 0.08613606349171792']"
HBV00000NVZFO,"['HBV00000NVZFY - 0.3151381152779813', 'HBV00000NVZF2 - 0.12966589296724637', 'HBV00000NVZGK - 0.12408142300212972', 'HBV00000NVZFI - 0.1112156255326098', 'HBV00000NVZFW - 0.05386988991822162']"
HBV00000NVZFS,"['HBV00000NVZFW - 0.06667468930032', 'HBV00000NVZF2 - 0.01413354302240355']"
HBV00000NVZFW,"['HBV00000NVZDS - 0.1370400009468541', 'HBV00000NVZFS - 0.06667468930031994', 'HBV00000NVZFO - 0.05386988991822162']"
HBV00000NVZFY,"['HBV00000NVZFO - 0.3151381152779813', 'HBV00000NVZGK - 0.1497621752058581', 'HBV00000NVZGC - 0.03610261652022832', 'HBV00000NVZFA - 0.014156956247496015']"
HBV00000NVZG6,"['HBV00000NVZFI - 0.30908748572740535', 'HBV00000NVZF2 - 0.10185710657604581']"
HBV00000NVZGC,"['HBV00000NVZE0 - 0.07129909049719081', 'HBV00000NVZFY - 0.036102616520228274']"
HBV00000NVZGE,"['HBV00000NVZDS - 0.24930913025943705', 'HBV00000NVZGK - 0.23253997629767093']"
HBV00000NVZGK,"['HBV00000NVZGE - 0.23253997629767093', 'HBV00000NVZDS - 0.16290096805257998', 'HBV00000NVZFY - 0.14976217520585816', 'HBV00000NVZFO - 0.12408142300212972']"
HBV00000NVZIE,"['HBV00000QU4CO - 0.34445792119132274', 'HBV00000P7VP1 - 0.22985832271898948', 'HBV00000H1O7F - 0.21408802572751778', 'HBV00000SP76S - 0.1407580670398168', 'HBV00000LML58 - 0.13100313458140778']"
HBV00000NVZIL,['HBV00000PQP4C - 0.1112156255326098']
HBV00000NVZIN,['HBV00000PQP4C - 0.016047399223835312']
HBV00000O2S4A,"['HBV00000O2SC9 - 0.10677944064885707', 'HBV00000TIRUF - 0.009448760728033327']"
HBV00000O2S86,"['HBV00000OE7RL - 0.7077420436315359', 'HBV00000O2SGG - 0.5919745259943603']"
HBV00000O2S8L,"['HBV00000NVZD6 - 0.25349390719507225', 'HBV00000NVZ9U - 0.07146982398666632', 'HBV00000TIRUT - 0.0008200872264045589']"
HBV00000O2SC1,['HBV00000NE20X - 0.31412964817226474']
HBV00000O2SC9,['HBV00000O2S4A - 0.10677944064885707']
HBV00000O2SCZ,['HBV00000O2SES - 0.07685544239032542']
HBV00000O2SDB,['HBV00000TDAW1 - 0.01406001379724812']
HBV00000O2SDJ,"['HBV00000O2SES - 0.08151485155372669', 'HBV00000NVZB2 - 0.011710454559299293']"
HBV00000O2SDO,"['HBV00000O2SFC - 0.020299731737040718', 'HBV00000TDAW1 - 0.006563493978062665']"
HBV00000O2SE2,"['HBV00000PV5MN - 0.15832123630816067', 'HBV00000P7QFZ - 0.005346587185280012']"
HBV00000O2SES,"['HBV00000O2SDJ - 0.08151485155372669', 'HBV00000O2SCZ - 0.07685544239032542']"
HBV00000O2SFC,['HBV00000O2SDO - 0.020299731737040718']
HBV00000O2SFK,['HBV00000O2SFM - 0.5387275236248192']
HBV00000O2SFM,['HBV00000O2SFK - 0.5387275236248192']
HBV00000O2SGG,"['HBV00000OE7RL - 0.7103127902095839', 'HBV00000O2S86 - 0.5919745259943603', 'HBV00000QX24Q - 0.20249579922842614']"
HBV00000O2SGO,"['HBV00000O2SGS - 0.06088991128588223', 'HBV00000O2SH5 - 0.028833388784877904', 'HBV00000QX24Q - 0.027980244800312172']"
HBV00000O2SGS,"['HBV00000O2SHY - 0.07698357561921192', 'HBV00000O2SGO - 0.06088991128588223', 'HBV00000PV5MN - 0.03617021237438248']"
HBV00000O2SH3,['HBV00000O2SJW - 0.0']
HBV00000O2SH5,['HBV00000O2SGO - 0.028833388784877904']
HBV00000O2SH9,['HBV00000PUQCU - 0.09254647462786968']
HBV00000O2SHY,['HBV00000O2SGS - 0.07698357561921192']
HBV00000O2SIV,['HBV00000PLGIO - 0.7328881651868143']
HBV00000O2SJH,"['HBV00000NVZD6 - 0.15842126056411596', 'HBV00000TIRUT - 0.059307104033072704']"
HBV00000O2SJL,['HBV00000O2SJQ - 0.4154554892238462']
HBV00000O2SJQ,['HBV00000O2SJL - 0.4154554892238462']
HBV00000O2SJW,['HBV00000O2SH3 - 0.0']
HBV00000O3C5Y,"['HBV00000NGSTK - 0.21820391664406047', 'HBV00000NGSTC - 0.20188001904884176']"
HBV00000O3C6C,"['HBV00000NVZ8L - 0.002940158313957043', 'HBV00000O3C7B - 0.0012800926447163814']"
HBV00000O3C6M,['HBV00000QU42H - 0.2667848885875029']
HBV00000O3C6Z,['HBV00000TDAW1 - 0.03200477090599828']
HBV00000O3C7B,['HBV00000O3C6C - 0.0012800926447163814']
HBV00000OE6QQ,"['HBV00000NE1EX - 0.38559542507070066', 'HBV00000NE1EV - 0.3605183982409626', 'HBV00000SP6XX - 0.26361900354912393']"
HBV00000OE6QS,['HBV00000NFML6 - 0.5890074334657105']
HBV00000OE7B5,['HBV00000OE7FN - 0.008984917994062565']
HBV00000OE7FN,"['HBV00000PV6O6 - 0.017397632568536343', 'HBV00000OE7B5 - 0.008984917994062614']"
HBV00000OE7FS,['HBV00000OE7J3 - 0.062410698606891545']
HBV00000OE7GM,['HBV00000NG8KO - 0.12298121549976118']
HBV00000OE7GO,['HBV00000OEL7I - 0.3029094234189681']
HBV00000OE7J3,"['HBV00000PLGC2 - 0.14808568166558966', 'HBV00000OE7FS - 0.062410698606891496']"
HBV00000OE7NA,['HBV00000OE7Q0 - 0.6654565806992307']
HBV00000OE7OC,"['HBV00000NE253 - 0.18465848702580928', 'HBV00000NE24Z - 0.10292529290933562', 'HBV000006IYYQ - 0.04697865566128924']"
HBV00000OE7Q0,['HBV00000OE7NA - 0.6654565806992307']
HBV00000OE7RL,"['HBV00000O2SGG - 0.7103127902095839', 'HBV00000O2S86 - 0.7077420436315359']"
HBV00000OE7SD,['HBV00000PLGC2 - 0.0005510690091437721']
HBV00000OE7UX,"['HBV00000PLGC2 - 0.09848496693798536', 'HBV00000P7QHN - 0.09783255660410436']"
HBV00000OE7ZB,"['HBV00000NVZB2 - 0.05063870551448352', 'HBV00000PUQDG - 0.029704834459657707']"
HBV00000OE817,"['HBV00000OE819 - 0.3876662746534065', 'HBV00000NG8QT - 0.13806123184850008']"
HBV00000OE819,"['HBV00000OE817 - 0.3876662746534065', 'HBV00000NG8QP - 0.14561975654536555']"
HBV00000OE82F,['HBV00000NFHJX - 0.3108037226735587']
HBV00000OE82H,['HBV00000NFHJX - 0.4622644171276123']
HBV00000OE87V,['HBV00000OE87X - 0.6444417223800558']
HBV00000OE87X,['HBV00000OE87V - 0.6444417223800558']
HBV00000OE8AU,"['HBV00000QSG5K - 0.3785472335701449', 'HBV00000NFHG1 - 0.19259591016832306', 'HBV00000NFGQQ - 0.15355977051339728']"
HBV00000OE8BE,['HBV00000P7VR8 - 0.020574213622506617']
HBV00000OE8XK,['HBV00000PNGLT - 0.46371096794719263']
HBV00000OE95O,"['HBV00000LML5S - 0.4060702164660983', 'ZYHPETICEDIY004 - 0.37663594417339596', 'HBV00000NFMMC - 0.32938291370241374', 'HBV00000PV7A2 - 0.32572735639885647', 'ZYHPETICEDIY014 - 0.3245233504345799', 'HBV00000NE11I - 0.32346315423515415', 'ZYHPETICEDIY015 - 0.31022769706497305', 'HBV00000GNAXL - 0.30756567928371403', 'ZYHPETICEDIY011 - 0.29127435423711356', 'HBV00000JUHIU - 0.2816017025070589', 'HBV00000PVCRF - 0.24153579707060588', 'HBV00000PQJMG - 0.2222598084156451']"
HBV00000OEL7I,"['HBV00000OE7GO - 0.3029094234189681', 'HBV00000QU443 - 0.2771009680066911', 'HBV00000QU449 - 0.27559970852599436', 'HBV00000OELAC - 0.17566682614358428', 'HBV00000OEL9Y - 0.14862633075431428']"
HBV00000OEL86,['HBV00000NVZD0 - 0.5682108612627228']
HBV00000OEL8E,['HBV00000QX2LV - 0.0046305206870252465']
HBV00000OEL9E,"['HBV00000OELBW - 0.020978210779436957', 'HBV00000OELBY - 0.011142458767401687']"
HBV00000OEL9W,"['HBV00000OELBE - 0.49541522388494075', 'HBV00000OELAK - 0.46108775597595425']"
HBV00000OEL9Y,"['HBV00000OELAC - 0.37584507604149325', 'HBV00000QU449 - 0.33538201307843907', 'HBV00000OEL7I - 0.14862633075431428']"
HBV00000OELA2,"['HBV00000OELBS - 0.06961958725976578', 'HBV00000OFHVY - 0.033134435258301044']"
HBV00000OELAC,"['HBV00000OEL9Y - 0.37584507604149325', 'HBV00000QU443 - 0.3645425795552617', 'HBV00000QU449 - 0.24977917823653278', 'HBV00000OEL7I - 0.17566682614358434']"
HBV00000OELAG,"['HBV00000OELC2 - 0.4233343032480113', 'HBV00000OFHVY - 0.04339053923993155']"
HBV00000OELAK,['HBV00000OEL9W - 0.46108775597595425']
HBV00000OELBE,['HBV00000OEL9W - 0.49541522388494086']
HBV00000OELBI,"['HBV00000OFHW3 - 0.41207098037792095', 'HBV00000OFHVY - 0.3020868070147104']"
HBV00000OELBK,['HBV00000OELBW - 0.13198644208508306']
HBV00000OELBS,"['HBV00000OELA2 - 0.06961958725976583', 'HBV00000OFHVY - 0.057119822903137794']"
HBV00000OELBW,"['HBV00000OELBK - 0.13198644208508306', 'HBV00000OELBY - 0.054974787603730056', 'HBV00000OEL9E - 0.020978210779437005']"
HBV00000OELBY,"['HBV00000PVQ5D - 0.16752957704367158', 'HBV00000OELBW - 0.054974787603730105', 'HBV00000OEL9E - 0.011142458767401687']"
HBV00000OELC2,['HBV00000OELAG - 0.4233343032480113']
HBV00000OELCU,['HBV00000OFHVY - 0.033263007926693205']
HBV00000OELDI,"['HBV00000QU449 - 0.044375452856761484', 'HBV00000QU445 - 0.038955000758180224']"
HBV00000OFHVY,"['HBV00000OELBI - 0.3020868070147104', 'HBV00000OFHW3 - 0.21490159339339698', 'HBV00000OELBS - 0.057119822903137746', 'HBV00000OELAG - 0.04339053923993155', 'HBV00000OELCU - 0.033263007926693205', 'HBV00000OELA2 - 0.033134435258301044']"
HBV00000OFHW3,"['HBV00000OELBI - 0.41207098037792095', 'HBV00000OFHVY - 0.21490159339339698']"
HBV00000P7QFZ,['HBV00000O2SE2 - 0.005346587185280012']
HBV00000P7QHA,['HBV00000PVAXI - 0.2505815257154834']
HBV00000P7QHN,"['HBV00000PLGC2 - 0.20762991099172276', 'HBV00000OE7UX - 0.09783255660410436']"
HBV00000P7QPD,"['HBV00000NG8FS - 0.28312922148527814', 'HBV00000NG8FQ - 0.18399989814716153', 'HBV00000NG8FO - 0.14387414277333077', 'HBV00000NG8FU - 0.12210928870203909']"
HBV00000P7VMU,"['HBV00000PNG8N - 0.30668235642373964', 'HBV00000QU463 - 0.2933157783654227', 'HBV00000P7VP5 - 0.1789747957196216', 'HBV00000H1O7F - 0.15291983301995846', 'HBV00000QU4CO - 0.13142771746076384', 'HBV00000P7VP1 - 0.07748566930363873', 'HBV00000NFH09 - 0.03314833146373125', 'HBV00000LML58 - 0.02929697356271527', 'HBV00000SP76S - 0.023059740318031978']"
HBV00000P7VMW,['HBV00000NE1AN - 0.06639200390746063']
HBV00000P7VMZ,['HBV00000PLGXK - 0.12261336933891609']
HBV00000P7VOK,"['HBV00000P7VOV - 0.33040396800774574', 'HBV00000U27O9 - 0.2601390694546609', 'ZYHPFRITOCPS066 - 0.2564162697707043', 'HBV00000PV6B2 - 0.218285580552105', 'HBV00000PQJ3W - 0.21776063777656934', 'HBV00000U27O7 - 0.18082560987069035', 'HBV00000U2B4S - 0.1544174508027626', 'HBV00000U2B4Q - 0.13569404329576604', 'ZYHPFRITOCPS040 - 0.13347788864805593', 'HBV00000PNG9X - 0.1251149225814102', 'HBV00000PNG99 - 0.07834056327725548']"
HBV00000P7VOV,"['HBV00000P7VOK - 0.33040396800774574', 'HBV00000U27O7 - 0.32474485500907996', 'HBV00000PV6B2 - 0.30498150814702063', 'HBV00000PQJ3W - 0.30142364916869685', 'HBV00000PNG9X - 0.19514116023441058', 'HBV00000U2B4Q - 0.1453775492674918', 'HBV00000U2B4S - 0.1332392277479715']"
HBV00000P7VOZ,"['HBV00000QX1U5 - 0.4237389198650375', 'HBV00000P7VP1 - 0.2334007247052283', 'HBV00000NFGTP - 0.11660179093388699']"
HBV00000P7VP1,"['HBV00000QX1U5 - 0.24537743277511478', 'HBV00000P7VOZ - 0.23340072470522838', 'HBV00000NVZIE - 0.22985832271898957', 'HBV00000QU467 - 0.22522026402565573', 'HBV00000QU463 - 0.15417297206732336', 'HBV00000SP76S - 0.10397953531763209', 'HBV00000NFGTT - 0.10281102423670918', 'HBV00000LML58 - 0.09360064163463769', 'HBV00000P7VMU - 0.07748566930363873', 'HBV00000H1O7F - 0.05727357737548469', 'HBV00000QU4CO - 0.04839810737961534', 'HBV00000QU6IH - 0.04313616270583553', 'HBV00000SP76Y - 0.03810042954291103']"
HBV00000P7VP5,"['ZYHPULKERCIK050 - 0.2804054663459751', 'HBV00000P7VMU - 0.1789747957196216', 'HBV00000QU6IR - 0.16550143490248567']"
HBV00000P7VPG,"['HBV00000NFMMQ - 0.20243974950167754', 'HBV00000P7VT6 - 0.026002069742655995']"
HBV00000P7VR8,"['HBV00000QS9QR - 0.2528163829562493', 'HBV00000NE0X1 - 0.18365142731491518', 'HBV00000NE0T6 - 0.1725866782063258', 'HBV00000NE1OA - 0.15278969828839825', 'HBV00000NE0T4 - 0.13813740193396187', 'HBV00000NE1E9 - 0.1337522193543669', 'HBV00000NE0WG - 0.12298121549976118', 'HBV00000NE1T4 - 0.11716666551862348', 'HBV00000NE1FA - 0.0895887594439751', 'HBV00000NE1SP - 0.08397904534245046', 'HBV00000NE1FK - 0.07464598571114835', 'HBV00000NE257 - 0.07140941365268488', 'HBV00000NE1BO - 0.07140941365268488', 'HBV00000NE259 - 0.07110064506991493', 'HBV00000NFHRO - 0.06980842556151935', 'HBV00000NE1EX - 0.053854652805448475', 'HBV00000NE158 - 0.050335999737272895', 'HBV00000NFH57 - 0.05004743282505047', 'HBV00000NE1XR - 0.044915547638691586', 'HBV00000SP6XX - 0.03922061365464432', 'HBV00000NE0TA - 0.03212647407532882', 'HBV00000SP6XZ - 0.02815024116941617', 'HBV00000NFMQY - 0.024452548961457068', 'HBV00000OE8BE - 0.020574213622506617', 'HBV00000NE24H - 0.013181627223834624', 'HBV00000NE0TW - 0.009324975779172717', 'HBV00000NG8K2 - 0.0015020995544892302']"
HBV00000P7VS3,['HBV00000NFH8V - 1.0']
HBV00000P7VSV,"['HBV00000UOI79 - 0.02413701042380194', 'HBV00000UOI76 - 0.0071055286480808']"
HBV00000P7VT6,"['HBV00000QS9LK - 0.10024086957474175', 'HBV00000P7VPG - 0.026002069742655995']"
HBV00000P7W3I,['HBV00000P7W3K - 0.6085032332445856']
HBV00000P7W3K,['HBV00000P7W3I - 0.6085032332445856']
HBV00000P7Z96,"['HBV00000QS9KM - 0.192064141889389', 'HBV00000NFH8F - 0.04840554321959316']"
HBV00000P7ZHC,"['HBV00000P7ZHG - 0.6670507608462899', 'HBV00000P7ZHE - 0.529140342196351']"
HBV00000P7ZHE,"['HBV00000P7ZHG - 0.5887667106058244', 'HBV00000P7ZHC - 0.5291403421963511']"
HBV00000P7ZHG,"['HBV00000P7ZHC - 0.6670507608462899', 'HBV00000P7ZHE - 0.5887667106058244']"
HBV00000PKHK4,['HBV00000NE1KS - 0.11121562553260975']
HBV00000PLGC2,"['HBV00000P7QHN - 0.20762991099172265', 'HBV00000OE7J3 - 0.1480856816655896', 'HBV00000OE7UX - 0.09848496693798536', 'HBV00000OE7SD - 0.0005510690091437221']"
HBV00000PLGCD,"['HBV00000NE1MV - 0.37511300079841076', 'HBV00000PQK8U - 0.3069681733328784', 'HBV00000KJMHN - 0.1900284910982779']"
HBV00000PLGE8,"['HBV00000NFGTT - 0.21420121542052054', 'HBV00000LML58 - 0.08316508979568166']"
HBV00000PLGIO,['HBV00000O2SIV - 0.7328881651868143']
HBV00000PLGK5,['HBV00000NFHNK - 0.2739598139438163']
HBV00000PLGNP,"['HBV00000NE182 - 0.6240992319964614', 'ZYUNIL581595 - 0.5645518030077764']"
HBV00000PLGT3,"['HBV00000U27O9 - 0.28915428314956104', 'HBV00000QU6IH - 0.1016497297311595', 'HBV00000U2B4Q - 0.08636188855774098', 'HBV00000U27O7 - 0.0776253388996989', 'HBV00000QU6IN - 0.0747228744068988']"
HBV00000PLGTZ,"['ZYHPULKERBSK033 - 0.35106763771601623', 'HBV00000NE1VV - 0.2714434188693174', 'HBV00000JUHKU - 0.053378758986803845']"
HBV00000PLGW7,['HBV00000PLGWF - 0.28912248081991276']
HBV00000PLGWF,"['HBV00000PLGW7 - 0.28912248081991276', 'HBV00000NFHKN - 0.006645973222187079']"
HBV00000PLGWT,"['HBV00000SP6XZ - 0.2900742941952108', 'HBV00000NE1OA - 0.110630611217866', 'HBV00000NE259 - 0.09580468469098911', 'HBV00000NE158 - 0.06085587611195724', 'HBV00000NE257 - 0.05106756100085231', 'HBV00000NE1FA - 0.01410958142134208', 'HBV00000NE0TW - 0.012814971360074345', 'HBV00000NE24H - 0.005696866846868252']"
HBV00000PLGX6,"['HBV00000NFGQQ - 0.3773260406317495', 'HBV00000NFHG1 - 0.23872243845256202']"
HBV00000PLGXE,"['HBV00000PLGXI - 0.24671411810191662', 'HBV00000PLGXG - 0.1859848287086876']"
HBV00000PLGXG,"['HBV00000PLGXI - 0.3832395244558641', 'HBV00000PLGXE - 0.1859848287086876']"
HBV00000PLGXI,"['HBV00000PLGXG - 0.3832395244558641', 'HBV00000PLGXE - 0.24671411810191662']"
HBV00000PLGXK,['HBV00000P7VMZ - 0.12261336933891614']
HBV00000PLGXQ,"['HBV00000PLGXS - 0.5739698892427096', 'ZYPEYMAN200115 - 0.5704715624750359']"
HBV00000PLGXS,"['HBV00000PLGXQ - 0.5739698892427096', 'HBV00000PLGXW - 0.5415406425331281']"
HBV00000PLGXW,"['HBV00000PLGXS - 0.5415406425331281', 'HBV00000NFGQQ - 0.21257543122314818', 'HBV00000NFHG1 - 0.0847217595186164']"
HBV00000PLHDK,"['HBV00000SPIEB - 0.1439041026200091', 'HBV00000SPIEN - 0.022052178153083843']"
HBV00000PLHFX,"['HBV00000SF25F - 0.578169136257133', 'HBV00000SF25D - 0.36984448945814197']"
HBV00000PNG8N,"['HBV00000H1O7F - 0.3353287544355414', 'ZYIDP80050100 - 0.3151715856860823', 'HBV00000P7VMU - 0.30668235642373964', 'HBV00000NFH09 - 0.04866744151985661']"
HBV00000PNG8T,['HBV00000DW9NZ - 0.44502163674263184']
HBV00000PNG8V,['HBV00000PNG9X - 0.2986052072662327']
HBV00000PNG8X,"['HBV00000DW9NP - 0.47990886504773145', 'HBV00000PNG9Z - 0.3267093904416386', 'HBV00000DW9NZ - 0.32359721028881044', 'ZYHPFRITOCPS041 - 0.30517270057436463', 'HBV00000PNG9X - 0.2853697500960517', 'HBV00000PNGHG - 0.21299236902042284', 'HBV00000PQJ3W - 0.20252825545490588', 'HBV00000PNGHQ - 0.17919414032718084']"
HBV00000PNG99,"['HBV00000PNG9L - 0.2994442961822164', 'ZYHPFRITOCPS066 - 0.2947085870088477', 'HBV00000PNG9X - 0.27228242455929647', 'HBV00000PNG9Z - 0.26968972875383995', 'ZYHPFRITOCPS041 - 0.2517330276181889', 'HBV00000DW9NZ - 0.21521357385565298', 'HBV00000DW9O1 - 0.2123263502611159', 'ZYHPFRITOCPS058 - 0.21199335556339893', 'HBV00000PNGHG - 0.20350412630105633', 'HBV00000PNG9D - 0.2004014857006894', 'HBV00000JUHL6 - 0.16882979960749037', 'HBV00000JUHLM - 0.16882979960749037', 'HBV00000NE0XW - 0.16563913792314847', 'HBV00000PNGHO - 0.15546322154917339', 'ZYHPETICEKEK017 - 0.14081092519473704', 'HBV00000PNGHQ - 0.1332392277479715', 'ZYHPFRITOCPS040 - 0.11735466208387327', 'HBV00000P7VOK - 0.07834056327725544', 'HBV00000PVQ93 - 0.04615176327921487', 'ZYULKER0007200 - 0.023378857771417714']"
HBV00000PNG9D,['HBV00000PNG99 - 0.2004014857006894']
HBV00000PNG9L,"['HBV00000PNG9X - 0.40641097734778003', 'HBV00000DW9NZ - 0.3484900882116382', 'ZYHPFRITOCPS041 - 0.30862670897380756', 'HBV00000DW9O1 - 0.30438818480332563', 'HBV00000PNG99 - 0.2994442961822164', 'HBV00000PNGHG - 0.2788962709013508']"
HBV00000PNG9X,"['HBV00000PNG9L - 0.40641097734778003', 'HBV00000DW9NZ - 0.3760011203607779', 'ZYHPFRITOCPS041 - 0.36827297810675025', 'HBV00000PNG9Z - 0.3580757475591672', 'ZYHPFRITOCPS058 - 0.30203944003796684', 'HBV00000PNG8V - 0.2986052072662327', 'HBV00000PNG8X - 0.2853697500960517', 'HBV00000DW9NT - 0.28270773231479257', 'HBV00000PNG99 - 0.27228242455929647', 'HBV00000DW9O1 - 0.2461510693042283', 'HBV00000PNGHG - 0.24435872613795157', 'HBV00000PNGHO - 0.19631782138606857', 'HBV00000P7VOV - 0.19514116023441058', 'ZYHPFRITOCPS066 - 0.1837011758227433', 'HBV00000PNGHQ - 0.17588617075114357', 'HBV00000P7VOK - 0.1251149225814102', 'HBV00000U27O7 - 0.10070012746815567']"
HBV00000PNG9Z,"['HBV00000PQKVD - 0.538737642060179', 'ZYHPFRITOCPS041 - 0.4621614471659936', 'HBV00000PNG9X - 0.3580757475591672', 'HBV00000DW9NZ - 0.33596047607065144', 'ZYHPFRITOCPS058 - 0.3288619224394469', 'HBV00000PNG8X - 0.3267093904416386', 'HBV00000PV6B2 - 0.32246515363570455', 'HBV00000PNG99 - 0.26968972875383995', 'HBV00000PNGHQ - 0.2172258110967305']"
HBV00000PNGA8,"['ZYHPPRINGCPS010 - 0.5013066068337019', 'ZYHPPRINGCPS011 - 0.40461558443766055']"
HBV00000PNGD8,"['HBV00000QU46R - 0.6922973054978034', 'HBV00000QU46P - 0.6416045613794339']"
HBV00000PNGG6,['HBV00000QU4CI - 0.05938438899422733']
HBV00000PNGHG,"['HBV00000PNGHO - 0.3063493617260227', 'HBV00000DW9O1 - 0.29965247562995684', 'HBV00000PNG9L - 0.2788962709013508', 'HBV00000DW9NZ - 0.25443225464747626', 'HBV00000PNG9X - 0.24435872613795145', 'ZYHPFRITOCPS066 - 0.23720258214847187', 'ZYHPFRITOCPS040 - 0.22053289220655659', 'HBV00000PNG8X - 0.21299236902042284', 'HBV00000PNG99 - 0.20350412630105624', 'HBV00000PNGHQ - 0.1381831163690807']"
HBV00000PNGHI,['HBV00000PNGHM - 0.5668480677003584']
HBV00000PNGHK,['HBV00000PNGHO - 0.42304573633578896']
HBV00000PNGHM,['HBV00000PNGHI - 0.5668480677003583']
HBV00000PNGHO,"['HBV00000PNGHK - 0.42304573633578896', 'HBV00000PNGHG - 0.3063493617260227', 'HBV00000DW9NZ - 0.2063913498955934', 'HBV00000PNG9X - 0.19631782138606857', 'HBV00000PNG99 - 0.15546322154917333', 'HBV00000PNGHQ - 0.12710019119670798']"
HBV00000PNGHQ,"['ZYHPFRITOCPS041 - 0.30012903910742905', 'HBV00000DW9NZ - 0.27716415996845983', 'ZYHPFRITOCPS040 - 0.27545359752558074', 'HBV00000PNG9Z - 0.2172258110967305', 'HBV00000PNG8X - 0.17919414032718084', 'HBV00000PNG9X - 0.17588617075114357', 'HBV00000DW9NT - 0.1724790781673318', 'ZYHPFRITOCPS066 - 0.1432381128596891', 'HBV00000PNGHG - 0.1381831163690807', 'HBV00000PNG99 - 0.1332392277479715', 'HBV00000PNGHO - 0.12710019119670798', 'HBV00000PVQ95 - 0.11653778709992302', 'HBV00000DW9O1 - 0.09896443557725737', 'ZYHPETICEKEK017 - 0.09100902531888674', 'ZYULKER0007200 - 0.0688344629819488', 'HBV00000PV795 - 0.06071959141997978', 'HBV00000PQJ3W - 0.052033652151897626', 'HBV00000NE1VV - 0.010172200423802367']"
HBV00000PNGHS,['ZYHPPRINGCPS011 - 0.5384911347727928']
HBV00000PNGLT,['HBV00000OE8XK - 0.46371096794719263']
HBV00000PNGO7,['HBV00000PNGOH - 0.39303650576298615']
HBV00000PNGOH,"['HBV00000PNGO7 - 0.39303650576298604', 'ZYHPCOCACMSY029 - 0.3591259756512743']"
HBV00000PNGP0,"['HBV00000PNGP2 - 0.2692166731068729', 'HBV00000PV9MB - 0.1861926730786541', 'HBV00000PV795 - 0.1762340381016467', 'HBV00000JUHKQ - 0.1753501946178223', 'HBV00000QU6IN - 0.12078889485560747', 'HBV00000QU6IH - 0.0565112894720767', 'HBV00000QU4CO - 0.020762210187756345', 'HBV00000QU6IR - 0.01680425685992854']"
HBV00000PNGP2,"['HBV00000PNGP0 - 0.2692166731068729', 'HBV00000NFGXT - 0.26143574695015215', 'ZYHPSOLENKGF005 - 0.0992816447640632', 'HBV00000PV795 - 0.0963101632794986', 'HBV00000PV9MB - 0.09175164031239921', 'HBV00000JUHKQ - 0.08090916185156745', 'HBV00000JUHKS - 0.05589030359655958', 'HBV00000QU6IN - 0.038509628069494144', 'ZYBICN9286333 - 0.014879279638459406', 'HBV00000QU6IH - 0.012263693455513064', 'ZYHPETICEKEK045 - 0.002095278469753023']"
HBV00000PQIIM,"['HBV000002O5M7 - 0.153310689551365', 'HBV00000PVAXI - 0.08355324843769349', 'ZYHPDROETYRD010 - 0.07623253025627386', 'ZYHPDROETYRD009 - 0.06243246222523639', 'HBV00000PQLJ6 - 0.02304408102760636', 'ZYHPDROETPDN009 - 0.02001116482481829']"
HBV00000PQIK2,"['ZYHPANKARMKR011 - 0.44258929273127834', 'HBV00000QU46J - 0.18487117104805215', 'HBV00000QU46H - 0.09836904742668365']"
HBV00000PQIRB,"['ZYBICN9286983 - 0.15842602473353926', 'HBV00000NE259 - 0.04039271972612724']"
HBV00000PQJ3W,"['HBV00000PV6B2 - 0.4377777916896966', 'HBV00000U27O7 - 0.3192246300646722', 'HBV00000P7VOV - 0.30142364916869685', 'HBV00000P7VOK - 0.21776063777656934', 'HBV00000U27O9 - 0.20794870755348718', 'HBV00000PNG8X - 0.20252825545490594', 'HBV00000DW9NZ - 0.15276368037416793', 'HBV00000U2B4S - 0.1432381128596891', 'HBV00000U2B4Q - 0.11436541042110929', 'HBV00000PNGHQ - 0.052033652151897675']"
HBV00000PQJ7K,['ZYDAROM101D3035 - 0.3297017274321626']
HBV00000PQJ84,['ZYDUTAT90635260997 - 0.05287286599588163']
HBV00000PQJCT,['HBV00000PQJCV - 0.43238269250496586']
HBV00000PQJCV,['HBV00000PQJCT - 0.43238269250496586']
HBV00000PQJIR,['HBV00000PQJIV - 0.7291809131549208']
HBV00000PQJIV,['HBV00000PQJIR - 0.7291809131549208']
HBV00000PQJK3,"['HBV00000SP72Y - 0.3094121060880784', 'HBV00000NE0Z4 - 0.10549257607108975']"
HBV00000PQJLN,['AILEETI1811300 - 0.31932952065982434']
HBV00000PQJMG,['HBV00000OE95O - 0.2222598084156451']
HBV00000PQJPU,['ZYECZACI9662013 - 0.11076547954042008']
HBV00000PQK4A,"['HBV00000NG8FS - 0.3291311479380472', 'HBV00000NG8FO - 0.188594368452174', 'HBV00000NG8FQ - 0.17517767418710195']"
HBV00000PQK8U,"['HBV00000NE1MV - 0.3473603856841228', 'HBV00000PLGCD - 0.3069681733328784']"
HBV00000PQKAG,['HBV00000PQKB6 - 0.5754048722560346']
